what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1289723718508
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1289723718509
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1289723718509
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1289723718510
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1289723718510
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1289723718511
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1289723718511
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1289723718511
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1289723718512
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1289723718512
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1289723718512
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1289723718513
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1289723718514
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1289723718514
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1289723718515
os,sysinfo,,,"win32",1289723718518
arch,sysinfo,,,"x86_64",1289723718518
ws,sysinfo,,,"win32",1289723718518
locale,sysinfo,,,"en_US",1289723718518
processors,sysinfo,,,"6",1289723718518
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1289723718518
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1289723718518
java.specification.name,sysinfo,,,"Java Platform API Specification",1289723718518
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289723718518
java.specification.version,sysinfo,,,"1.6",1289723718518
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1289723718518
java.version,sysinfo,,,"1.6.0_21",1289723718518
java.vm.info,sysinfo,,,"mixed mode",1289723718518
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1289723718518
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1289723718518
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289723718518
java.vm.specification.version,sysinfo,,,"1.0",1289723718518
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1289723718518
java.vm.version,sysinfo,,,"17.0-b17",1289723718518
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1289723728682
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1289723728704
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1289723728730
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1289723739804
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1289723739819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289723740552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289723976393
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289723979137
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289723980884
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289723984357
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289724015132
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1289724015146
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289724016728
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289724057410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289724064344
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289724083934
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1289724083940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289724087484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289724961972
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289724963610
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1289724963771
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1289724963926
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1289724963927
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1289724963927
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1289724963928
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1289724963929
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1289724963930
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1289724963930
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1289724963932
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1289724963932
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1289724963933
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1289724964004
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1289724964005
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1289724964008
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1289724964008
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1289724964009
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1289724964010
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1289724964280
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1289724964280
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1289724964283
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1289724964287
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1289724964287
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1289724964289
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1289724964291
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1289724964294
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1289724964294
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.help.ui",1289724964296
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1289724964298
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1289724964298
stopped,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1289724964332
stopped,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1289724964362
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1289724964363
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1289724964365
